midx,title
247,April Fool's Day (1986)
248,Apt Pupil (1998)
249,Aquaman (2018)
250,Arachnophobia (1990)
251,Argo (2012)
252,"Aristocats, The (1970)"
253,"Aristocrats, The (2005)"
254,Arlington Road (1999)
255,Armageddon (1998)
256,Armed and Dangerous (1986)
257,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)
258,Army of Darkness (1993)
259,Around the World in 80 Days (1956)
260,Around the World in 80 Days (2004)
261,Arrival (2016)
262,"Arrival, The (1996)"
263,Arsenic and Old Lace (1944)
264,"Art of War, The (2000)"
265,Arthur (1981)
266,As Good as It Gets (1997)
267,"Asphalt Jungle, The (1950)"
268,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
269,Assassins (1995)
270,Assault on Precinct 13 (1976)
271,Assault on Precinct 13 (2005)
272,"Associate, The (1996)"
273,"Astronaut's Wife, The (1999)"
274,Atlantic City (1980)
275,Atlantis: The Lost Empire (2001)
276,Atomic Blonde (2017)
277,Atonement (2007)
278,Attack of the Killer Tomatoes! (1978)
279,Attack the Block (2011)
280,Au revoir les enfants (1987)
281,Audition (Ôdishon) (1999)
282,August Rush (2007)
283,Auntie Mame (1958)
284,Austin Powers in Goldmember (2002)
285,Austin Powers: International Man of Mystery (1997)
286,Austin Powers: The Spy Who Shagged Me (1999)
287,Australia (2008)
288,Autumn in New York (2000)
289,Avatar (2009)
290,"Avengers, The (1998)"
291,"Avengers, The (2012)"
292,Avengers: Age of Ultron (2015)
293,Avengers: Infinity War - Part I (2018)
294,Avengers: Infinity War - Part II (2019)
295,"Aviator, The (2004)"
296,Awakenings (1990)
297,Away We Go (2009)
298,BASEketball (1998)
299,Babe (1995)
300,Babe: Pig in the City (1998)
301,Babel (2006)
302,Babes in Toyland (1961)
303,Babette's Feast (Babettes gæstebud) (1987)
304,Baby Driver (2017)
305,Baby Geniuses (1999)
306,Baby Mama (2008)
307,"Baby-Sitters Club, The (1995)"
308,Babylon A.D. (2008)
309,"Babysitter, The (1995)"
310,Bachelor Party (1984)
311,"Bachelor, The (1999)"
312,Back to School (1986)
313,Back to the Future (1985)
314,Back to the Future Part II (1989)
315,Back to the Future Part III (1990)
316,Backbeat (1993)
317,Backdraft (1991)
318,Bad Boys (1995)
319,Bad Boys II (2003)
320,Bad Company (2002)
321,Bad Education (La mala educación) (2004)
322,Bad Girls (1994)
323,Bad Lieutenant (1992)
324,Bad Lieutenant: Port of Call New Orleans (2009)
325,"Bad News Bears, The (1976)"
326,Bad Santa (2003)
327,"Bad Seed, The (1956)"
328,Bad Taste (1987)
329,Bad Teacher (2011)
330,Badlands (1973)
331,Balto (1995)
332,"Bamba, La (1987)"
333,Bambi (1942)
334,Bananas (1971)
335,Band of Brothers (2001)
336,Bandits (2001)
337,"Bank Job, The (2008)"
338,Baraka (1992)
339,Barb Wire (1996)
340,Barbarella (1968)
341,"Barbarian Invasions, The (Les invasions barbares) (2003)"
342,Barbershop (2002)
343,Barcelona (1994)
344,Barefoot in the Park (1967)
345,Barry Lyndon (1975)
346,Barton Fink (1991)
347,Basic (2003)
348,Basic Instinct (1992)
349,"Basketball Diaries, The (1995)"
350,Basquiat (1996)
351,Batman & Robin (1997)
352,Batman (1966)
353,Batman (1989)
354,Batman Begins (2005)
355,Batman Forever (1995)
356,Batman Returns (1992)
357,Batman v Superman: Dawn of Justice (2016)
358,Batman: Mask of the Phantasm (1993)
359,Battle Royale (Batoru rowaiaru) (2000)
360,Battle for the Planet of the Apes (1973)
361,"Battle of Algiers, The (La battaglia di Algeri) (1966)"
362,Battle: Los Angeles (2011)
363,Battlefield Earth (2000)
364,Battleship (2012)
365,Battleship Potemkin (1925)
366,Be Cool (2005)
367,Be Kind Rewind (2008)
368,"Beach, The (2000)"
369,Beaches (1988)
370,Bean (1997)
371,"Bear, The (Ours, L') (1988)"
372,"Beastmaster, The (1982)"
373,Beasts of the Southern Wild (2012)
374,"Beautician and the Beast, The (1997)"
375,Beautiful Girls (1996)
376,"Beautiful Mind, A (2001)"
377,Beautiful Thing (1996)
378,Beauty and the Beast (1991)
379,Beauty and the Beast (2017)
380,Beauty and the Beast (La belle et la bête) (1946)
381,Beauty of the Day (Belle de jour) (1967)
382,Beavis and Butt-Head Do America (1996)
383,Becoming Jane (2007)
384,Bed of Roses (1996)
385,Bedazzled (2000)
386,Bedknobs and Broomsticks (1971)
387,Bedtime Stories (2008)
388,Bee Movie (2007)
389,Beerfest (2006)
390,Beethoven (1992)
391,Beethoven's 2nd (1993)
392,Beetlejuice (1988)
393,Before Midnight (2013)
394,Before Night Falls (2000)
395,Before Sunrise (1995)
396,Before Sunset (2004)
397,Before and After (1996)
398,Before the Devil Knows You're Dead (2007)
399,Before the Rain (Pred dozhdot) (1994)
400,Begin Again (2013)
401,Beginners (2010)
402,Behind Enemy Lines (2001)
403,Being John Malkovich (1999)
404,Being There (1979)
405,"Believer, The (2001)"
406,"Bell, Book and Candle (1958)"
407,Ben-Hur (1959)
408,Bend It Like Beckham (2002)
409,Beneath the Planet of the Apes (1970)
410,Benny & Joon (1993)
411,Beowulf (2007)
412,"Best Exotic Marigold Hotel, The (2011)"
413,"Best Years of Our Lives, The (1946)"
414,Best in Show (2000)
415,Better Off Dead... (1985)
416,"Beverly Hillbillies, The (1993)"
417,Beverly Hills Cop (1984)
418,Beverly Hills Cop II (1987)
419,Beverly Hills Cop III (1994)
420,Beverly Hills Ninja (1997)
421,Bewitched (2005)
422,Beyond Rangoon (1995)
423,Bicentennial Man (1999)
424,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)
425,Big (1988)
426,"Big Blue, The (Grand bleu, Le) (1988)"
427,"Big Chill, The (1983)"
428,Big Daddy (1999)
429,"Big Easy, The (1987)"
430,Big Fat Liar (2002)
431,Big Fish (2003)
432,"Big Green, The (1995)"
433,Big Hero 6 (2014)
434,"Big Hit, The (1998)"
435,"Big Kahuna, The (2000)"
436,"Big Lebowski, The (1998)"
437,Big Momma's House (2000)
438,Big Night (1996)
439,"Big One, The (1997)"
440,"Big Short, The (2015)"
441,"Big Sleep, The (1946)"
442,Big Trouble in Little China (1986)
443,Bill & Ted's Bogus Journey (1991)
444,Bill & Ted's Excellent Adventure (1989)
445,"Bill Cosby, Himself (1983)"
446,Billy Elliot (2000)
447,Billy Madison (1995)
448,Biloxi Blues (1988)
449,Bio-Dome (1996)
450,Bird Box (2018)
451,Bird on a Wire (1990)
452,"Birdcage, The (1996)"
453,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
454,"Birds, The (1963)"
455,Birdy (1984)
456,Bitter Moon (1992)
457,BlacKkKlansman (2018)
458,Black Beauty (1994)
459,Black Book (Zwartboek) (2006)
460,"Black Cat, White Cat (Crna macka, beli macor) (1998)"
461,"Black Cauldron, The (1985)"
462,"Black Dahlia, The (2006)"
463,Black Hawk Down (2001)
464,"Black Hole, The (1979)"
465,Black Knight (2001)
466,Black Mass (2015)
467,Black Mirror: Bandersnatch (2018)
468,Black Panther (2017)
469,Black Rain (1989)
470,Black Sheep (1996)
471,Black Snake Moan (2006)
472,"Black Stallion, The (1979)"
473,Black Swan (2010)
474,Blackfish (2013)
475,Blade (1998)
476,Blade II (2002)
477,Blade Runner (1982)
478,Blade Runner 2049 (2017)
479,Blade: Trinity (2004)
480,Blades of Glory (2007)
481,"Blair Witch Project, The (1999)"
482,Blame It on Rio (1984)
483,Blank Check (1994)
484,Blast from the Past (1999)
485,Blazing Saddles (1974)
486,Blind Date (1987)
487,"Blind Side, The  (2009)"
488,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)"
489,Blink (1994)
490,"Blob, The (1958)"
491,"Blob, The (1988)"
492,Blood Diamond (2006)
493,Blood Simple (1984)
494,Blood Work (2002)
495,Bloodsport (1988)
496,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
497,Blow (2001)
498,Blow-Up (Blowup) (1966)
499,Blown Away (1994)
500,"Blue Angel, The (Blaue Engel, Der) (1930)"
501,Blue Crush (2002)
502,Blue Is the Warmest Color (La vie d'Adèle) (2013)
503,Blue Jasmine (2013)
504,"Blue Lagoon, The (1980)"
505,Blue Ruin (2013)
506,Blue Streak (1999)
507,Blue Valentine (2010)
508,Blue Velvet (1986)
509,Blue in the Face (1995)
510,Blues Brothers 2000 (1998)
511,"Blues Brothers, The (1980)"
512,Bob Roberts (1992)
513,Body Heat (1981)
514,Body Snatchers (1993)
515,Body of Lies (2008)
516,"Bodyguard, The (1992)"
517,Bohemian Rhapsody (2018)
518,Boiler Room (2000)
519,Bolt (2008)
520,"Bone Collector, The (1999)"
521,Bonfire of the Vanities (1990)
522,Bonnie and Clyde (1967)
523,Boogie Nights (1997)
524,"Book Thief, The (2013)"
525,"Book of Eli, The (2010)"
526,Book of Shadows: Blair Witch 2 (2000)
527,Boomerang (1992)
528,"Boondock Saints II: All Saints Day, The (2009)"
529,"Boondock Saints, The (2000)"
530,"Boot, Das (Boat, The) (1981)"
531,Booty Call (1997)
532,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
533,Born Yesterday (1950)
534,Born on the Fourth of July (1989)
535,"Borrowers, The (1997)"
536,Bottle Rocket (1996)
537,Bounce (2000)
538,Bound (1996)
539,"Bounty Hunter, The (2010)"
540,"Bourne Identity, The (2002)"
541,"Bourne Legacy, The (2012)"
542,"Bourne Supremacy, The (2004)"
543,"Bourne Ultimatum, The (2007)"
544,Bowfinger (1999)
545,Bowling for Columbine (2002)
546,"Box, The (2009)"
547,Boxing Helena (1993)
548,"Boy Who Could Fly, The (1986)"
549,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)"
550,Boyhood (2014)
551,Boys Don't Cry (1999)
552,"Boys from Brazil, The (1978)"
553,Boys on the Side (1995)
554,Boyz N the Hood (1991)
555,"Brady Bunch Movie, The (1995)"
556,Brassed Off (1996)
557,Brave (2012)
558,"Brave Little Toaster, The (1987)"
559,Braveheart (1995)
560,Brazil (1985)
561,Breach (2007)
562,"Break-Up, The (2006)"
563,Breakdown (1997)
564,Breaker Morant (1980)
565,"Breakfast Club, The (1985)"
566,Breakfast at Tiffany's (1961)
567,Breaking Away (1979)
568,Breaking the Waves (1996)
569,Breathless (À bout de souffle) (1960)
570,Brewster's Millions (1985)
571,Brick (2005)
572,Bride Wars (2009)
573,Bride of Chucky (Child's Play 4) (1998)
574,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)"
575,Bridesmaids (2011)
576,"Bridge Too Far, A (1977)"
577,Bridge of Spies (2015)
578,"Bridge on the River Kwai, The (1957)"
579,Bridge to Terabithia (2007)
580,"Bridges of Madison County, The (1995)"
581,Bridget Jones's Diary (2001)
582,Bridget Jones: The Edge of Reason (2004)
583,Brief Encounter (1946)
584,Bright (2017)
585,Brighton Beach Memoirs (1986)
586,Bring It On (2000)
587,Bringing Down the House (2003)
588,Bringing Out the Dead (1999)
589,Bringing Up Baby (1938)
590,Broadcast News (1987)
591,Brokeback Mountain (2005)
592,Brokedown Palace (1999)
593,Broken Arrow (1996)
594,Broken Flowers (2005)
595,Bronson (2009)
596,"Bronx Tale, A (1993)"
597,Brooklyn (2015)
598,Brother Bear (2003)
599,"Brother from Another Planet, The (1984)"
600,"Brotherhood of the Wolf (Pacte des loups, Le) (2001)"
601,"Brothers Bloom, The (2008)"
602,"Brothers Grimm, The (2005)"
603,"Brothers McMullen, The (1995)"
604,Bruce Almighty (2003)
605,Brüno (Bruno) (2009)
606,Bubba Ho-tep (2002)
607,Bubble Boy (2001)
608,"Bucket List, The (2007)"
609,"Buddy Holly Story, The (1978)"
610,Buena Vista Social Club (1999)
611,Buffalo '66 (a.k.a. Buffalo 66) (1998)
612,Buffy the Vampire Slayer (1992)
613,"Bug's Life, A (1998)"
614,Bull Durham (1988)
615,Bulletproof (1996)
616,Bulletproof Monk (2003)
617,Bullets Over Broadway (1994)
618,Bullitt (1968)
619,Bully (2001)
620,Bulworth (1998)
621,Buried (2010)
622,Burn After Reading (2008)
623,Burnt by the Sun (Utomlyonnye solntsem) (1994)
624,But I'm a Cheerleader (1999)
625,Butch Cassidy and the Sundance Kid (1969)
626,"Butcher Boy, The (1997)"
627,"Butcher's Wife, The (1991)"
628,Cabaret (1972)
629,Cabin Boy (1994)
630,Cabin Fever (2002)
631,"Cabin in the Woods, The (2012)"
632,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)"
633,"Cable Guy, The (1996)"
634,Caddyshack (1980)
635,"Cage aux Folles, La (1978)"
636,"Caine Mutiny, The (1954)"
637,Calendar Girls (2003)
638,Caligula (1979)
639,Call Me by Your Name (2017)
640,"Campaign, The (2012)"
641,Can't Buy Me Love (1987)
642,Can't Hardly Wait (1998)
643,Canadian Bacon (1995)
644,"Candidate, The (1972)"
645,Candyman (1992)
646,Candyman: Farewell to the Flesh (1995)
647,"Cannonball Run, The (1981)"
648,Cape Fear (1962)
649,Cape Fear (1991)
650,Capote (2005)
651,Captain America: Civil War (2016)
652,Captain America: The First Avenger (2011)
653,Captain America: The Winter Soldier (2014)
654,Captain Corelli's Mandolin (2001)
655,Captain Fantastic (2016)
656,Captain Marvel (2018)
657,Captain Phillips (2013)
658,Capturing the Friedmans (2003)
659,Carlito's Way (1993)
660,Carnage (2011)
661,Carnal Knowledge (1971)
662,Carol (2015)
663,Carrie (1976)
664,Carrington (1995)
665,Cars (2006)
666,Cars 2 (2011)
667,Casablanca (1942)
668,Cashback (2006)
669,Casino (1995)
670,Casino Royale (1967)
671,Casino Royale (2006)
672,Casper (1995)
673,Cast Away (2000)
674,"Castle, The (1997)"
675,Cat Ballou (1965)
676,Cat People (1982)
677,"Cat Returns, The (Neko no ongaeshi) (2002)"
678,"Cat from Outer Space, The (1978)"
679,"Cat in the Hat, The (2003)"
680,Cat on a Hot Tin Roof (1958)
681,Cat's Eye (1985)
682,Catch Me If You Can (2002)
683,Catch-22 (1970)
684,Cats & Dogs (2001)
685,Catwoman (2004)
686,"Celebration, The (Festen) (1998)"
687,Celebrity (1998)
688,"Cell, The (2000)"
689,Cellular (2004)
690,"Celluloid Closet, The (1995)"
691,Celtic Pride (1996)
692,Cemetery Man (Dellamorte Dellamore) (1994)
693,Center Stage (2000)
694,Central Intelligence (2016)
695,Central Station (Central do Brasil) (1998)
696,Chain Reaction (1996)
697,"Chamber, The (1996)"
698,"Change-Up, The (2011)"
699,Changeling (2008)
700,Changing Lanes (2002)
701,Chaplin (1992)
702,Chappie (2015)
703,Charade (1963)
704,Chariots of Fire (1981)
705,Charlie Bartlett (2007)
706,"Charlie Brown Christmas, A (1965)"
707,Charlie Wilson's War (2007)
708,Charlie and the Chocolate Factory (2005)
709,Charlie's Angels (2000)
710,Charlie's Angels: Full Throttle (2003)
711,Charlotte's Web (1973)
712,Chasing Amy (1997)
713,Cheaper by the Dozen (2003)
714,Cheech and Chong's Up in Smoke (1978)
715,Chef (2014)
716,Chicago (2002)
717,Chicken Little (2005)
718,Chicken Run (2000)
719,Child's Play (1988)
720,Child's Play 2 (1990)
721,Child's Play 3 (1991)
722,Children of Men (2006)
723,Children of Paradise (Les enfants du paradis) (1945)
724,Children of a Lesser God (1986)
725,Children of the Corn (1984)
726,Children of the Corn IV: The Gathering (1996)
727,"China Syndrome, The (1979)"
728,Chinatown (1974)
729,Chitty Chitty Bang Bang (1968)
730,Chocolat (1988)
731,Chocolat (2000)
732,Chopper (2000)
733,"Chorus, The (Choristes, Les) (2004)"
734,Christine (1983)
735,"Christmas Carol, A (1938)"
736,"Christmas Carol, A (2009)"
737,"Christmas Story, A (1983)"
738,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
739,Chronicle (2012)
740,"Chronicles of Narnia: Prince Caspian, The (2008)"
741,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
742,"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)"
743,"Chronicles of Riddick, The (2004)"
744,Chungking Express (Chung Hing sam lam) (1994)
745,"Cider House Rules, The (1999)"
746,Cinderella (1950)
747,Cinderella (2015)
748,Cinderella Man (2005)
749,"Cinderella Story, A (2004)"
750,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
751,Circle of Friends (1995)
752,Citizen Kane (1941)
753,Citizen Ruth (1996)
754,Citizenfour (2014)
755,City Hall (1996)
756,City Lights (1931)
757,City Slickers (1991)
758,City Slickers II: The Legend of Curly's Gold (1994)
759,City of Angels (1998)
760,City of Ember (2008)
761,City of God (Cidade de Deus) (2002)
762,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
763,"Civil Action, A (1998)"
764,"Clan of the Cave Bear, The (1986)"
765,Clash of the Titans (1981)
766,Clash of the Titans (2010)
767,Clay Pigeons (1998)
768,Clean Slate (1994)
769,Clear and Present Danger (1994)
770,Clerks (1994)
771,Clerks II (2006)
772,Click (2006)
773,"Client, The (1994)"
774,Cliffhanger (1993)
775,Clockers (1995)
776,Clockwatchers (1997)
777,"Clockwork Orange, A (1971)"
778,Close Encounters of the Third Kind (1977)
779,Closer (2004)
780,Cloud Atlas (2012)
781,Cloudy with a Chance of Meatballs (2009)
782,Cloudy with a Chance of Meatballs 2 (2013)
783,Cloverfield (2008)
784,Clue (1985)
785,Clueless (1995)
786,Coach Carter (2005)
787,Coal Miner's Daughter (1980)
788,Cobb (1994)
789,Cobra (1986)
790,Cocktail (1988)
791,Coco (2017)
792,Cocoon (1985)
793,Cocoon: The Return (1988)
794,Coffee and Cigarettes (2003)
795,Coherence (2013)
796,Cold Comfort Farm (1995)
797,Cold Mountain (2003)
798,Collateral (2004)
799,Collateral Damage (2002)
800,"Color Purple, The (1985)"
801,"Color of Money, The (1986)"
802,Color of Night (1994)
803,Colors (1988)
804,Coma (1978)
805,Coming to America (1988)
806,Commando (1985)
807,"Commitments, The (1991)"
808,Con Air (1997)
809,Conan the Barbarian (1982)
810,Conan the Destroyer (1984)
811,Coneheads (1993)
812,Confessions of a Dangerous Mind (2002)
813,Confessions of a Shopaholic (2009)
814,Confidence (2003)
815,"Conformist, The (Conformista, Il) (1970)"
816,Congo (1995)
817,"Conjuring, The (2013)"
818,Conquest of the Planet of the Apes (1972)
819,Conspiracy Theory (1997)
820,"Constant Gardener, The (2005)"
821,Constantine (2005)
822,Contact (1997)
823,Contagion (2011)
824,"Contender, The (2000)"
825,Control (2007)
826,"Conversation, The (1974)"
827,"Cook the Thief His Wife & Her Lover, The (1989)"
828,Cookie's Fortune (1999)
829,Cool Hand Luke (1967)
830,Cool Runnings (1993)
831,"Cooler, The (2003)"
832,Cop Land (1997)
833,Cops and Robbersons (1994)
834,Copycat (1995)
835,Coraline (2009)
836,"Core, The (2003)"
837,"Corporation, The (2003)"
838,Corpse Bride (2005)
839,"Corrina, Corrina (1994)"
840,"Corruptor, The (1999)"
841,"Counterfeiters, The (Die Fälscher) (2007)"
842,Couples Retreat (2009)
843,Courage Under Fire (1996)
844,"Cove, The (2009)"
845,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)
846,"Cowboy Way, The (1994)"
847,Cowboys & Aliens (2011)
848,Coyote Ugly (2000)
849,Cradle Will Rock (1999)
850,"Craft, The (1996)"
851,Crank (2006)
852,Crank: High Voltage (2009)
853,Crash (1996)
854,Crash (2004)
855,"Crazies, The (2010)"
856,Crazy Heart (2009)
857,"Crazy, Stupid, Love. (2011)"
858,Crazy/Beautiful (2001)
859,Creature Comforts (1989)
860,"Creature from the Black Lagoon, The (1954)"
861,Creed (2015)
862,Creepshow (1982)
863,Crimes and Misdemeanors (1989)
864,Crimson Peak (2015)
865,"Crimson Rivers, The (Rivières pourpres, Les) (2000)"
866,Crimson Tide (1995)
867,Critters (1986)
868,Crocodile Dundee (1986)
869,Crocodile Dundee II (1988)
